"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.03564 0.0389 0.0389
0.03574 0.0401 0.0401
0.03584 0.0389 0.0389
0.03594 0.0305 0.0305
0.03604 0.0281 0.0281
0.03613 0.0377 0.0377
0.03623 0.0401 0.0401
0.03633 0.0401 0.0401
0.03643 0.0395 0.0395
0.03653 0.0401 0.0401
0.03663 0.0401 0.0401
0.03673 0.0395 0.0395
0.03683 0.0401 0.0401
0.03693 0.0401 0.0401
0.03703 0.0407 0.0407
0.03713 0.0389 0.0389
0.03723 0.0407 0.0407
0.03733 0.0395 0.0395
0.03743 0.0395 0.0395
0.03753 0.0395 0.0395
0.03763 0.0401 0.0401
0.03773 0.0395 0.0395
0.03783 0.0401 0.0401
0.03793 0.0389 0.0389
0.03803 0.0371 0.0371
0.03813 0.0305 0.0305
0.03822 0.0329 0.0329
0.03832 0.0431 0.0431
0.03842 0.0455 0.0455
0.03852 0.0443 0.0443
0.03862 0.0299 0.0299
0.03872 0.0305 0.0305
0.03882 0.0407 0.0407
0.03892 0.0305 0.0305
0.03902 0.0323 0.0323
0.03912 0.0365 0.0365
0.03922 0.0359 0.0359
0.03932 0.0359 0.0359
0.03942 0.0359 0.0359
0.03952 0.0365 0.0365
0.03962 0.0359 0.0359
0.03972 0.0371 0.0371
0.03982 0.0353 0.0353
0.03992 0.0365 0.0365
0.04002 0.0359 0.0359
0.04012 0.0365 0.0365
0.04022 0.0359 0.0359
0.04032 0.0359 0.0359
0.04041 0.0359 0.0359
0.04051 0.0365 0.0365
0.04061 0.0371 0.0371
0.04071 0.0359 0.0359
0.04081 0.0359 0.0359
0.04091 0.0353 0.0353
0.04101 0.0377 0.0377
0.04111 0.0359 0.0359
0.04121 0.0359 0.0359
0.04131 0.0359 0.0359
0.04141 0.0365 0.0365
0.04151 0.0365 0.0365
0.04161 0.0359 0.0359
0.04171 0.0359 0.0359
0.04181 0.0359 0.0359
0.04191 0.0365 0.0365
0.04201 0.0359 0.0359
0.04211 0.0371 0.0371
0.04221 0.0359 0.0359
0.04231 0.0353 0.0353
0.04241 0.0359 0.0359
0.04251 0.0371 0.0371
0.04260 0.0383 0.0383
0.04270 0.0437 0.0437
0.04280 0.0449 0.0449
0.04290 0.0443 0.0443
0.04300 0.0437 0.0437
0.04310 0.0449 0.0449
0.04320 0.0449 0.0449
0.04330 0.0431 0.0431
0.04340 0.0431 0.0431
0.04350 0.0353 0.0353
0.04360 0.0371 0.0371
0.04370 0.0359 0.0359
0.04380 0.0437 0.0437
0.04390 0.0443 0.0443
0.04400 0.0473 0.0473
0.04410 0.0461 0.0461
0.04420 0.0431 0.0431
0.04430 0.0437 0.0437
0.04440 0.0437 0.0437
0.04450 0.0431 0.0431
0.04460 0.0395 0.0395
0.04470 0.0377 0.0377
0.04479 0.0383 0.0383
0.04489 0.0383 0.0383
0.04499 0.0383 0.0383
0.04509 0.0389 0.0389
0.04519 0.0383 0.0383
0.04529 0.0377 0.0377
0.04539 0.0383 0.0383
0.04549 0.0407 0.0407
0.04559 0.0383 0.0383
0.04569 0.0377 0.0377
0.04579 0.0389 0.0389
0.04589 0.0383 0.0383
0.04599 0.0383 0.0383
0.04609 0.0425 0.0425
0.04619 0.0539 0.0539
0.04629 0.0539 0.0539
0.04639 0.0539 0.0539
0.04649 0.0533 0.0533
0.04659 0.0539 0.0539
0.04669 0.0539 0.0539
0.04679 0.0545 0.0545
0.04689 0.0539 0.0539
0.04698 0.0551 0.0551
0.04708 0.0533 0.0533
0.04718 0.0539 0.0539
0.04728 0.0539 0.0539
0.04738 0.0539 0.0539
0.04748 0.0539 0.0539
0.04758 0.0539 0.0539
0.04768 0.0545 0.0545
0.04778 0.0527 0.0527
0.04788 0.0557 0.0557
0.04798 0.0539 0.0539
0.04808 0.0539 0.0539
0.04818 0.0539 0.0539
0.04828 0.0539 0.0539
0.04838 0.0533 0.0533
0.04848 0.0539 0.0539
0.04858 0.0539 0.0539
0.04868 0.0539 0.0539
0.04878 0.0539 0.0539
0.04888 0.0539 0.0539
0.04898 0.0545 0.0545
0.04908 0.0539 0.0539
0.04917 0.0545 0.0545
0.04927 0.0539 0.0539
0.04937 0.0533 0.0533
0.04947 0.0533 0.0533
0.04957 0.0551 0.0551
0.04967 0.0539 0.0539
0.04977 0.0533 0.0533
0.04987 0.0539 0.0539
0.04997 0.0539 0.0539
0.05007 0.0539 0.0539
0.05017 0.0545 0.0545
0.05027 0.0539 0.0539
0.05037 0.0533 0.0533
0.05047 0.0545 0.0545
0.05057 0.0539 0.0539
0.05067 0.0545 0.0545
0.05077 0.0539 0.0539
0.05087 0.0539 0.0539
0.05097 0.0539 0.0539
0.05107 0.0533 0.0533
0.05117 0.0539 0.0539
0.05127 0.0539 0.0539
0.05136 0.0545 0.0545
0.05146 0.0539 0.0539
0.05156 0.0533 0.0533
0.05166 0.0539 0.0539
0.05176 0.0527 0.0527
0.05186 0.0545 0.0545
0.05196 0.0527 0.0527
0.05206 0.0413 0.0413
0.05216 0.0401 0.0401
0.05226 0.0365 0.0365
0.05236 0.0401 0.0401
0.05246 0.0545 0.0545
0.05256 0.0521 0.0521
0.05266 0.0515 0.0515
0.05276 0.0497 0.0497
0.05286 0.0503 0.0503
0.05296 0.0497 0.0497
0.05306 0.0509 0.0509
0.05316 0.0503 0.0503
0.05326 0.0509 0.0509
0.05336 0.0503 0.0503
0.05346 0.0509 0.0509
0.05355 0.0503 0.0503
0.05365 0.0503 0.0503
0.05375 0.0509 0.0509
0.05385 0.0503 0.0503
0.05395 0.0461 0.0461
0.05405 0.0419 0.0419
0.05415 0.0395 0.0395
0.05425 0.0503 0.0503
0.05435 0.0455 0.0455
0.05445 0.0323 0.0323
0.05455 0.0216 0.0216
0.05465 0.0425 0.0425
0.05475 0.0377 0.0377
0.05485 0.0389 0.0389
0.05495 0.0539 0.0539
0.05505 0.0527 0.0527
0.05515 0.0527 0.0527
0.05525 0.0563 0.0563
0.05535 0.0341 0.0341
0.05545 0.0281 0.0281
0.05555 0.0641 0.0641
0.05565 0.0617 0.0617
0.05574 0.0635 0.0635
0.05584 0.0641 0.0641
0.05594 0.0635 0.0635
0.05604 0.0587 0.0587
0.05614 0.0521 0.0521
0.05624 0.0515 0.0515
0.05634 0.0437 0.0437
0.05644 0.0443 0.0443
