alpha,beta_logGenLength,beta_diet_VertFishScav,residual_sd
0.0017747171353634321,-0.7736320510313279,0.3566616161566422,0.28712617630279935
-0.05731590365708139,-0.5918190053589721,0.13727406960753272,0.2562615797139402
-0.04643672857807784,-0.6601346060758525,0.216573186497932,0.2738718672068097
0.050110569747986854,-0.7468333299580229,0.21011335217330143,0.2815478697486296
-0.2114410375449973,-0.4106015794821846,0.17023484219394747,0.30076445332942703
-0.1000581330318532,-0.6120922927529566,0.2747066452053442,0.27988187799733616
-0.04782685086633108,-0.6185353296756935,0.2159104931277087,0.29022671844579667
-0.11639825782549232,-0.5028032832352901,0.2123304830420016,0.2723968115235778
-0.11891937394843385,-0.5502008301112815,0.2396423424427977,0.26837256625573297
-0.13070337259081438,-0.5226223584425056,0.15083188205916745,0.29205992550452037
-0.07695813274606059,-0.5854368646502802,0.1885102108683432,0.2686313724959806
-0.1272357443240805,-0.5158553506398311,0.2916392350504772,0.273235995211057
-0.07983309703374696,-0.5979918315677257,0.19546915007542154,0.277147597318592
-0.1124489458210254,-0.4710635793366148,0.14409940216836525,0.2768550105742862
-0.01671858781571449,-0.6334956015607028,0.09475288684005218,0.2978240602164325
-0.14705385826931897,-0.5252892519630918,0.21761968406670784,0.3024187153909821
-0.06905792442601694,-0.5249197752315956,0.10002667826646894,0.2591847286018151
-0.07911834585457053,-0.6425077976885816,0.25636433043915485,0.2779361038940597
-0.08732866849049786,-0.584800101929688,0.22583815884162797,0.2963120458402672
-0.0800231820502732,-0.5659743611307737,0.22171653790859863,0.28029724586001953
-0.06164037182264982,-0.630476625829974,0.24522351879577237,0.28041971726599235
-0.04157549121110237,-0.6453154399545028,0.2416430067505205,0.2843115107809358
-0.17467655001916801,-0.4362034498633548,0.10112445144305865,0.2719710078659608
-0.07535889765040843,-0.5481890925325033,0.1354394356639173,0.2768849356016041
-0.16248448582060437,-0.4504023617759204,0.20880533284592706,0.2739418598711586
-0.12304899155659477,-0.5308070843395426,0.21182037480562488,0.2886421117987174
-0.10368952351264948,-0.532448238412555,0.21889821335332313,0.291885736941111
-0.027442714001698787,-0.7115808250590966,0.2749657990509833,0.27798010032858295
-0.011757890587253786,-0.6796967009295549,0.19668471815615873,0.2708192929744447
-0.07559655217027896,-0.6177489319499868,0.20724357761670623,0.2801803585674279
-0.1717435793910622,-0.447999739458237,0.1565894710225697,0.3044117804327374
-0.07049529782293044,-0.635976717289647,0.326053476988157,0.26676882898074145
-0.08587983945316136,-0.5594206498831513,0.20476934715194356,0.3019018071712263
-0.020830521369575257,-0.699976785123411,0.2430685484437604,0.2719438138403944
-0.0909259133386278,-0.5545402199470353,0.19434675176965993,0.27483434378289395
-0.12455804064802066,-0.4780626516580989,0.19411113406261063,0.28060214582239523
