"number" "dsum" "count" "missing" "quant_error" "fname"
126 453216. 453216 12706542 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Microgale_taiva.tif"
127 270746. 270746 12889012 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Microgale_thomasi.tif"
128 29786.0 29786 13129972 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Mirza_coquereli.tif"
129 893.0 893 13158865 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Monias_benschi.tif"
130 1051.0 1051 13158707 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Monticola_erythronotus.tif"
131 34815.0 34815 13124943 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Monticola_imerina.tif"
132 1.1299e+06 1129897 12029861 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Monticola_sharpei.tif"
133 1194.0 1194 13158564 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Monticolomys_koopmani.tif"
134 229257. 229257 12930501 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Motacilla_flaviventris.tif"
135 526153. 526153 12633605 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Mystacornis_crossleyi.tif"
136 329902. 329902 12829856 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Neodrepanis_coruscans.tif"
137 993.0 993 13158765 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Neodrepanis_hypoxantha.tif"
138 649851. 649851 12509907 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Neomixis_striatigula.tif"
139 1.02291e+06 1022912 12136846 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Neomixis_tenella.tif"
140 596685. 596685 12563073 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Neomixis_viridis.tif"
141 31048.0 31048 13128710 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Nesillas_lantzii.tif"
142 741124. 741124 12418634 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Nesogale_dobsoni.tif"
143 718805. 718805 12440953 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Nesogale_talazaci.tif"
144 48956.0 48956 13110802 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Nesomys_audeberti.tif"
145 10577.0 10577 13149181 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Nesomys_lambertoni.tif"
146 524473. 524473 12635285 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Nesomys_rufus.tif"
147 464348. 464348 12695410 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Newtonia_amphichroa.tif"
148 23623.0 23623 13136135 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Newtonia_archboldi.tif"
