[2026-08-18T04:17:56.865Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Avahi laniger" taxon=mammalia sdm=RangeBag status=retained scientific_seconds=18.816000 clump_seconds=2.230376 polygon_seconds=1.349392 distance_seconds=2.906567 other_scientific_seconds=12.329665 checkpoint_seconds=0.481000 cleanup_gc_seconds=0.609000 orchestration_seconds=0.000000 total_seconds=19.906000
[2026-08-18T04:19:07.685Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Daubentonia madagascariensis" taxon=mammalia sdm=RangeBag status=retained scientific_seconds=68.013000 clump_seconds=2.394710 polygon_seconds=1.390919 distance_seconds=3.439545 other_scientific_seconds=60.787827 checkpoint_seconds=0.468000 cleanup_gc_seconds=2.332000 orchestration_seconds=0.001000 total_seconds=70.814000
[2026-08-18T04:19:20.625Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Eulemur mongoz" taxon=mammalia sdm=RangeBag status=retained scientific_seconds=12.156000 clump_seconds=1.849774 polygon_seconds=0.983403 distance_seconds=0.253718 other_scientific_seconds=9.069105 checkpoint_seconds=0.266000 cleanup_gc_seconds=0.514000 orchestration_seconds=0.001000 total_seconds=12.937000
[2026-08-18T04:19:30.743Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Eulemur cinereiceps" taxon=mammalia sdm=RangeBag status=skipped_no_pus_above_min_pop scientific_seconds=9.680000 clump_seconds=0.000000 polygon_seconds=0.000000 distance_seconds=0.000000 other_scientific_seconds=9.680000 checkpoint_seconds=0.001000 cleanup_gc_seconds=0.432000 orchestration_seconds=0.001000 total_seconds=10.114000
[2026-08-18T04:19:44.276Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Eulemur collaris" taxon=mammalia sdm=RangeBag status=retained scientific_seconds=12.727000 clump_seconds=1.900578 polygon_seconds=1.028853 distance_seconds=0.600163 other_scientific_seconds=9.197407 checkpoint_seconds=0.314000 cleanup_gc_seconds=0.488000 orchestration_seconds=0.001000 total_seconds=13.530000
[2026-08-18T04:21:00.277Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Eulemur fulvus" taxon=mammalia sdm=PPM status=retained scientific_seconds=73.760000 clump_seconds=2.711528 polygon_seconds=3.263404 distance_seconds=12.862268 other_scientific_seconds=54.922799 checkpoint_seconds=1.815000 cleanup_gc_seconds=0.421000 orchestration_seconds=0.001000 total_seconds=75.997000
[2026-08-18T04:21:30.563Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Eulemur rufus" taxon=mammalia sdm=PPM status=retained scientific_seconds=29.145000 clump_seconds=2.478093 polygon_seconds=1.812905 distance_seconds=5.556001 other_scientific_seconds=19.298000 checkpoint_seconds=0.741000 cleanup_gc_seconds=0.392000 orchestration_seconds=0.001000 total_seconds=30.279000
[2026-08-18T04:21:41.733Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Eulemur flavifrons" taxon=mammalia sdm=RangeBag status=retained scientific_seconds=10.458000 clump_seconds=1.360478 polygon_seconds=0.951564 distance_seconds=0.014110 other_scientific_seconds=8.131848 checkpoint_seconds=0.244000 cleanup_gc_seconds=0.465000 orchestration_seconds=0.000000 total_seconds=11.167000
[2026-08-18T04:22:45.146Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Hapalemur aureus" taxon=mammalia sdm=RangeBag status=retained scientific_seconds=61.051000 clump_seconds=1.699052 polygon_seconds=0.970374 distance_seconds=0.157832 other_scientific_seconds=58.223742 checkpoint_seconds=0.264000 cleanup_gc_seconds=2.094000 orchestration_seconds=0.001000 total_seconds=63.410000
[2026-08-18T04:23:35.730Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Hapalemur griseus" taxon=mammalia sdm=PPM status=retained scientific_seconds=48.304000 clump_seconds=2.579374 polygon_seconds=2.462440 distance_seconds=9.845176 other_scientific_seconds=33.417011 checkpoint_seconds=1.604000 cleanup_gc_seconds=0.669000 orchestration_seconds=0.000000 total_seconds=50.577000
