[2026-08-18T06:40:23.403Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=82/188 species="Hapalemur meridionalis" occupied_cells=209 patches=3 elapsed_seconds=1.13
[2026-08-18T06:40:24.523Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=83/188 species="Hapalemur occidentalis" occupied_cells=11288 patches=342 elapsed_seconds=1.12
[2026-08-18T06:40:25.682Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=84/188 species="Hartertula flavoviridis" occupied_cells=90205 patches=909 elapsed_seconds=1.16
[2026-08-18T06:40:26.836Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=85/188 species="Hartlaubius auratus" occupied_cells=1131280 patches=31214 elapsed_seconds=1.15
[2026-08-18T06:40:27.973Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=86/188 species="Hemicentetes nigriceps" occupied_cells=22779 patches=580 elapsed_seconds=1.14
[2026-08-18T06:40:29.172Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=87/188 species="Hemicentetes semispinosus" occupied_cells=811078 patches=14063 elapsed_seconds=1.2
[2026-08-18T06:40:30.321Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=88/188 species="Hypogeomys antimena" occupied_cells=1175 patches=23 elapsed_seconds=1.15
[2026-08-18T06:40:31.503Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=89/188 species="Hypositta corallirostris" occupied_cells=692953 patches=8618 elapsed_seconds=1.18
[2026-08-18T06:40:32.693Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=90/188 species="Indri indri" occupied_cells=705335 patches=2531 elapsed_seconds=1.19
[2026-08-18T06:40:33.855Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=91/188 species="Lemur catta" occupied_cells=325327 patches=15838 elapsed_seconds=1.16
[2026-08-18T06:40:35.078Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=92/188 species="Lepidopygia nana" occupied_cells=1781499 patches=42328 elapsed_seconds=1.22
[2026-08-18T06:40:36.197Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=93/188 species="Lepilemur ankaranensis" occupied_cells=3912 patches=77 elapsed_seconds=1.12
[2026-08-18T06:40:37.363Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=94/188 species="Lepilemur edwardsi" occupied_cells=113495 patches=3286 elapsed_seconds=1.17
[2026-08-18T06:40:38.493Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=95/188 species="Lepilemur leucopus" occupied_cells=258393 patches=3254 elapsed_seconds=1.13
[2026-08-18T06:40:39.625Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=96/188 species="Lepilemur microdon" occupied_cells=53237 patches=903 elapsed_seconds=1.13
[2026-08-18T06:40:41.221Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=97/188 species="Lepilemur mustelinus" occupied_cells=1027860 patches=17749 elapsed_seconds=1.6
[2026-08-18T06:40:42.295Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=98/188 species="Lepilemur ruficaudatus" occupied_cells=214180 patches=6040 elapsed_seconds=1.07
[2026-08-18T06:40:43.936Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=99/188 species="Leptopterus chabert" occupied_cells=1348763 patches=23927 elapsed_seconds=1.64
[2026-08-18T06:40:45.061Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=100/188 species="Lophotibis cristata" occupied_cells=921097 patches=1305 elapsed_seconds=1.12
[2026-08-18T06:40:46.113Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=101/188 species="Macrotarsomys bastardi" occupied_cells=92007 patches=1104 elapsed_seconds=1.05
[2026-08-18T06:40:47.447Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=102/188 species="Margaroperdix madagarensis" occupied_cells=1214864 patches=11978 elapsed_seconds=1.33
[2026-08-18T06:40:48.526Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=103/188 species="Mentocrex kioloides" occupied_cells=374255 patches=617 elapsed_seconds=1.08
[2026-08-18T06:40:49.566Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=104/188 species="Mesitornis unicolor" occupied_cells=981 patches=3 elapsed_seconds=1.04
[2026-08-18T06:40:50.774Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=105/188 species="Mesitornis variegatus" occupied_cells=31852 patches=91 elapsed_seconds=1.21
[2026-08-18T06:40:51.819Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=106/188 species="Microcebus berthae" occupied_cells=199 patches=5 elapsed_seconds=1.04
[2026-08-18T06:40:53.023Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=107/188 species="Microcebus griseorufus" occupied_cells=5782 patches=68 elapsed_seconds=1.2
